Input.Number	Input.Sentence	Answer.relations	Answer.if_single_relation	Answer.if_positive_agg	Answer.if_negative_agg	Answer.relationtype
6034	the death penalty is certainly a plus point for the death penalty 's absolute prevention against recidivism in terms of practical value	[[{'concept1': 'death penalty', 'relation': 'prevention against', 'concept2': 'recidivism', 'relationtype': 'negative'}], [{'concept1': 'the death penalty', 'relation': 'certainly a plus point', 'concept2': 'absolute prevention against recidivism', 'relationtype': 'negative'}], [{'concept1': 'death penalty', 'relation': 'prevention', 'concept2': 'recidivism', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6035	the death penalty is just as effective a means of preventing re offending is bound to make mistakes	[[{'concept1': 'Death penalty', 'relation': 'Preventing', 'concept2': 'Re offending', 'relationtype': 'positive'}], [{'concept1': 'death penalty', 'relation': 'preventing', 'concept2': 're offending', 'relationtype': 'negative'}], [{'concept1': 'death penalty', 'relation': 'preventing', 'concept2': 're offending', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
6042	sanctions are preventing free trade , as was well established by the work of milton friedman	[[{'concept1': 'sanctions', 'relation': 'preventing', 'concept2': 'trade', 'relationtype': 'negative'}], [{'concept1': 'sanctions', 'relation': 'preventing', 'concept2': 'free trade', 'relationtype': 'negative'}], [{'concept1': 'Sanctions', 'relation': 'Preventing', 'concept2': 'Free trade', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6054	execution methods : there are significant problems with the five methods currently used to execute people ( lethal injection , electrocution , firing squad , hanging and the gas chamber ) , all of which violate the constitutional ban on cruel and unusual punishment [ 9 ] in closingthe death penalty in the past has thought to deter crime and prevent murders from happening	[[{'concept1': 'death penalty', 'relation': 'deter', 'concept2': 'crime', 'relationtype': 'negative'}, {'concept1': 'death penalty', 'relation': 'prevent', 'concept2': 'murders', 'relationtype': 'negative'}], [{'concept1': 'execution methods', 'relation': 'violate', 'concept2': 'constitutional ban on cruel and unusual punishment', 'relationtype': 'negative'}], nan]	0	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 2, 'agg': 1}}
6055	execution is the only way to prevent this particular murderer from killing again '' that	[[{'concept1': 'execution', 'relation': 'prevent', 'concept2': 'murderer', 'relationtype': 'negative'}], [{'concept1': 'execution', 'relation': 'prevent', 'concept2': 'this particular murderer from killing again', 'relationtype': 'negative'}], [{'concept1': 'execution', 'relation': 'prevent', 'concept2': 'murderer from killing again', 'relationtype': 'positive'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
6056	no one would imagine that enforcing tough legal sanctions on people with a chronic condition such as heart disease could help address that illness causes , or help prevent the in others	[[{'concept1': 'tough legal sanctions', 'relation': 'address', 'concept2': 'illness causes', 'relationtype': 'positive'}, {'concept1': 'tough legal sanctions', 'relation': 'prevent', 'concept2': 'others', 'relationtype': 'negative'}], nan, [{'concept1': 'enforcing tough legal sanctions on people with a chronic condition', 'relation': 'no one would imagine', 'concept2': 'help address that illness causes', 'relationtype': 'negative'}, {'concept1': 'enforcing tough legal sanctions on people with a chronic condition', 'relation': 'no one would imagine', 'concept2': 'help prevent the in others', 'relationtype': 'negative'}]]	0	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 1, 'max': 2, 'agg': 1}}
6058	opponents of the cuba embargo say the sanctions harm cuban citizens , and prevent opportunities to promote change and democracy	[[{'concept1': 'sanctions', 'relation': 'harm', 'concept2': 'cuban citizens', 'relationtype': 'negative'}, {'concept1': 'sanctions', 'relation': 'prevent', 'concept2': 'opportunities to promote change and democracy', 'relationtype': 'negative'}], [{'concept1': 'cuba embargo', 'relation': 'harm', 'concept2': 'cuban citizens', 'relationtype': 'positive'}], [{'concept1': 'sanctions', 'relation': 'harm', 'concept2': 'cuban citizens', 'relationtype': 'negative'}, {'concept1': 'sanctions', 'relation': 'prevent', 'concept2': 'opportunities to promote change and democracy', 'relationtype': 'negative'}]]	0	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 2, 'agg': 2}}
6064	looks like i used the word is mods shoudl work to prevent and sanction personal attacks	[[{'concept1': 'mods', 'relation': 'work to prevent and sanction', 'concept2': 'personal attacks', 'relationtype': 'negative'}], [{'concept1': 'mods', 'relation': 'prevent', 'concept2': 'personal attacks', 'relationtype': 'negative'}, {'concept1': 'mods', 'relation': 'sanction', 'concept2': 'personal attacks', 'relationtype': 'negative'}], nan]	0	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 2, 'agg': 1}}
6076	me is to point out that just as reforms can be made to the death penalty to prevent wrongful convictions or execution , reforms can be made to lwop to ensure no possibility of recidivism for those	[[{'concept1': 'death penalty', 'relation': 'prevent', 'concept2': 'wronful convictions', 'relationtype': 'negative'}], [{'concept1': 'the death penalty', 'relation': 'to prevent', 'concept2': 'wrongful convictions or execution', 'relationtype': 'negative'}], nan]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6078	the united states ' moves in to prevent the sale of its sovereign material to the nation rumored to be building a bomb and slaps on economic sanctions for both countries for good measure	[[{'concept1': "the united states ' moves in", 'relation': 'prevent', 'concept2': 'sale of its sovereign material', 'relationtype': 'positive'}], [{'concept1': 'the united states', 'relation': 'prevent', 'concept2': 'sale', 'relationtype': 'negative'}], [{'concept1': "united states ' moves", 'relation': 'prevent', 'concept2': 'sale of its sovereign material', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
6080	( other studies have estimated the deterred murders per execution at three , five and 14 ) : for every years cut from time , one murder would be prevented	[[{'concept1': 'execution', 'relation': 'deterred', 'concept2': 'murders', 'relationtype': 'negative'}], [{'concept1': 'for every years cut from time', 'relation': 'would prevent', 'concept2': 'one murder', 'relationtype': 'negative'}], [{'concept1': 'for every years cut from time', 'relation': 'prevented', 'concept2': 'one murder', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6093	one execution was roughly equalivlent to preventing a total of 3 murders	[[{'concept1': 'execution', 'relation': 'preventing', 'concept2': 'murders', 'relationtype': 'positive'}], [{'concept1': 'one execution', 'relation': 'preventing', 'concept2': '3 murders', 'relationtype': 'positive'}], [{'concept1': 'one execution', 'relation': 'preventing', 'concept2': '3 murders', 'relationtype': 'negative'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
6097	only 18 homicides are prevented yearly because the death penalty	[[{'concept1': '18 homicides', 'relation': 'prevented', 'concept2': 'because the death penalty', 'relationtype': 'negative'}], [{'concept1': 'death penalty', 'relation': 'prevented', 'concept2': '18 homicides', 'relationtype': 'negative'}], [{'concept1': 'homicides', 'relation': 'prevent', 'concept2': 'death penalty', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6101	> every execution prevents 8 murders	[[{'concept1': 'execution', 'relation': 'prevents', 'concept2': 'murders', 'relationtype': 'negative'}], [{'concept1': 'every execution', 'relation': 'prevents', 'concept2': '8 murders', 'relationtype': 'negative'}], [{'concept1': 'execution', 'relation': 'prevents', 'concept2': '8 murders', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6106	the sanctions only prevented from creating a nuclear weapons	[nan, [{'concept1': 'sanctions', 'relation': 'prevented', 'concept2': 'creating a nuclear weapons', 'relationtype': 'negative'}], [{'concept1': 'the sanctions', 'relation': 'prevented', 'concept2': 'nuclear weapons', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6107	the sanctions used to prevent environmental damage were at a success rate of 92 % ( see drezner evidence )	[[{'concept1': 'the sanctions', 'relation': 'prevent', 'concept2': 'environmental damage', 'relationtype': 'negative'}], [{'concept1': 'sanctions', 'relation': 'prevent', 'concept2': 'environmental damage', 'relationtype': 'negative'}], [{'concept1': 'sanctions', 'relation': 'prevent', 'concept2': 'environmental damage', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6109	the separation of government ( executive , legislative , and judicial powers of government ) is necessary to prevent anyone from acting tyrannically	[[{'concept1': 'separation of government', 'relation': 'prevent', 'concept2': 'anyone from acting tyrannically', 'relationtype': 'negative'}], [{'concept1': 'separation of government', 'relation': 'to prevent', 'concept2': 'acting tyrannically', 'relationtype': 'negative'}], [{'concept1': 'separation of government', 'relation': 'necessary to prevent', 'concept2': 'anyone from acting tyrannically', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6117	the sever death penalty in china and the tough gun control prevents death	[[{'concept1': 'death penalty', 'relation': 'prevents', 'concept2': 'death', 'relationtype': 'negative'}, {'concept1': 'tough gun control', 'relation': 'prevents', 'concept2': 'death', 'relationtype': 'negative'}], [{'concept1': 'sever death penalty in china', 'relation': 'prevents', 'concept2': 'death', 'relationtype': 'negative'}, {'concept1': 'tough gun control', 'relation': 'prevents', 'concept2': 'death', 'relationtype': 'negative'}], [{'concept1': 'death penalty and gun control', 'relation': 'prevent', 'concept2': 'death', 'relationtype': 'negative'}]]	0	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 2, 'agg': 2}}
6127	the reason for your supporting the death penalty is to protect the lives of the innocent and prevent their murder	[[], [{'concept1': 'death penalty', 'relation': 'protect', 'concept2': 'the lives of the innocent', 'relationtype': 'positive'}, {'concept1': 'death penalty', 'relation': 'prevent', 'concept2': 'murder', 'relationtype': 'negative'}], [{'concept1': 'death penalty', 'relation': 'prevent', 'concept2': 'murder', 'relationtype': 'negative'}]]	0	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6128	therefore economic sanctions are necessary to prevent complete economic collapse in the labor force	[[{'concept1': 'economic sanctions', 'relation': 'prevent', 'concept2': 'economic collapse', 'relationtype': 'negative'}], [{'concept1': 'economic sanctions', 'relation': 'prevents', 'concept2': 'economic collapse in the labor force', 'relationtype': 'negative'}], [{'concept1': 'economic collapse', 'relation': 'economic sanctions', 'concept2': 'labor force', 'relationtype': 'positive'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
6129	the only morally justifiable action is to execute violent , pathological rapists both to prevent the future harm , and to reduce the burden	[[{'concept1': 'execute violent , pathological rapists', 'relation': 'prevent', 'concept2': 'future harm', 'relationtype': 'negative'}, {'concept1': 'execute violent , pathological rapists', 'relation': 'reduce', 'concept2': 'the burden', 'relationtype': 'negative'}], [{'concept1': 'rapists', 'relation': 'prevent', 'concept2': 'future harm', 'relationtype': 'negative'}], [{'concept1': 'execute violent , pathological rapists', 'relation': 'prevent', 'concept2': 'future harm , and to reduce the burden', 'relationtype': 'positive'}]]	0	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 2, 'agg': 1}}
6133	for instance , would your execute an innocent man to prevent a crowd from rioting , potentially killing others	[[{'concept1': 'execute an innocent man', 'relation': 'prevent', 'concept2': 'crowd from rioting', 'relationtype': 'negative'}, {'concept1': 'execute an innocent man', 'relation': 'prevent', 'concept2': 'killing', 'relationtype': 'negative'}], nan, [{'concept1': 'execute an innocent man', 'relation': 'prevent', 'concept2': 'crowd from rioting', 'relationtype': 'negative'}]]	0	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 2, 'agg': 1}}
6136	my support for the death penalty ( and all punishments ) is based on preventing future crime , not responding to past crime	[[{'concept1': 'death penalty', 'relation': 'preventing', 'concept2': 'future crime', 'relationtype': 'negative'}], [{'concept1': 'the death penalty', 'relation': 'prevents', 'concept2': 'future crime', 'relationtype': 'negative'}, {'concept1': 'all punishments', 'relation': 'prevent', 'concept2': 'future crime', 'relationtype': 'negative'}], [{'concept1': 'support for the death penalty', 'relation': 'preventing', 'concept2': 'future crime', 'relationtype': 'negative'}, {'concept1': 'support for all punishments', 'relation': 'preventing', 'concept2': 'future crime', 'relationtype': 'negative'}]]	0	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 2, 'agg': 2}}
6141	fear of the death penalty is what makes the death penalty effective in preventing crime ''	[[{'concept1': 'death penalty', 'relation': 'preventing', 'concept2': 'crime', 'relationtype': 'negative'}], [{'concept1': 'death penalty', 'relation': 'preventing', 'concept2': 'crime', 'relationtype': 'negative'}], [{'concept1': 'fear of the death penalty', 'relation': 'makes', 'concept2': 'the death penalty effective', 'relationtype': 'positive'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
6142	legal procedures were sufficient to prevent an innocent person from being executed	[[{'concept1': 'legal procedures', 'relation': 'prevent', 'concept2': 'innocent person from being executed', 'relationtype': 'negative'}], [{'concept1': 'legal procedures', 'relation': 'prevent', 'concept2': "innocent person's execution", 'relationtype': 'negative'}], [{'concept1': 'legal procedures', 'relation': 'prevent', 'concept2': 'innocent person from being executed', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6143	the quality of life is hoped to be increased by preventing the downgrade of the quality of life by economic sanctions	[[{'concept1': 'quality of life', 'relation': 'increased', 'concept2': 'preventing downgrade by economic sanctions', 'relationtype': 'positive'}], [{'concept1': 'economic sanctions', 'relation': 'downgrade', 'concept2': 'quality of life', 'relationtype': 'negative'}], [{'concept1': 'the quality of life', 'relation': 'increased', 'concept2': 'economic sanctions', 'relationtype': 'positive'}, {'concept1': 'the quality of life', 'relation': 'preventing the downgrade', 'concept2': 'economic sanctions', 'relationtype': 'negative'}]]	0	1	1	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
6192	abortions lead to depression almost always so women is we even end a babies life because the 4th woman rarely ever let 's go of a aborted baby that easily	[[{'concept1': 'Abortion', 'relation': 'Leads to', 'concept2': 'Depression', 'relationtype': 'positive'}], [{'concept1': 'abortion', 'relation': 'lead', 'concept2': 'depression', 'relationtype': 'positive'}], [{'concept1': 'abortions', 'relation': 'lead to', 'concept2': 'depression', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6211	while pro life advocates have hoped the abortion provider about her legal rights would reduce abortion and contain complex language designed to confuse women , and attempts to personify a fetus	[[{'concept1': 'legal rights', 'relation': 'reduce', 'concept2': 'abortion', 'relationtype': 'negative'}], [{'concept1': 'abortion provider about her legal rights', 'relation': 'would reduce', 'concept2': 'abortion', 'relationtype': 'negative'}], [{'concept1': 'the abortion provider about her legal rights', 'relation': 'reduce', 'concept2': 'abortion', 'relationtype': 'negative'}, {'concept1': 'the abortion provider about her legal rights', 'relation': 'contain', 'concept2': 'complex language', 'relationtype': 'negative'}]]	0	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 2, 'agg': 1}}
6242	a pregnant woman should be able to have an abortion in the embryonic period in order to prevent another person being bought into the world to about the right to life the very least	[[{'concept1': 'pregnant woman', 'relation': 'in order to prevent', 'concept2': 'abortion', 'relationtype': 'positive'}], [{'concept1': 'have an abortion in the embryonic period', 'relation': 'prevent', 'concept2': 'another person being bought into the world', 'relationtype': 'negative'}], [{'concept1': 'a pregnant woman should be able', 'relation': 'to have', 'concept2': 'an abortion', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
6245	undue restrictions on abortion infringe upon a woman 's autonomy to determine ruth bader ginsburg 's life 's course , and thus to enjoy equal citizenship stature	[[{'concept1': 'restrictions', 'relation': 'infringe', 'concept2': 'abortion', 'relationtype': 'negative'}], [{'concept1': 'restrictions', 'relation': 'infringe', 'concept2': "woman 's autonomy", 'relationtype': 'negative'}], [{'concept1': 'undue restrictions on abortion', 'relation': 'infringe upon', 'concept2': 'autonomy to determine', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6273	undue restrictions on abortion infringe upon a woman 's autonomy to determine 8 ] ruth bader ginsburg 's life 's course , and thus to enjoy equal citizenship stature	[[{'concept1': 'restrictions', 'relation': 'infringe', 'concept2': 'autonomy', 'relationtype': 'negative'}, {'concept1': 'restrictions', 'relation': 'infringe', 'concept2': 'equal citizenship stature', 'relationtype': 'negative'}], [{'concept1': 'undue restrictions on abortion', 'relation': 'infringe upon', 'concept2': "woman 's autonomy", 'relationtype': 'negative'}], [{'concept1': 'undue restrictions on abortio', 'relation': 'infringe upon', 'concept2': "a woman 's autonomy", 'relationtype': 'negative'}]]	0	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 2, 'agg': 1}}
6313	not letting women decide to have an abortion is in some cases taking away rape victims and mother of unwanted childrens ' right to life	[[{'concept1': 'not letting women decide to have an abortion', 'relation': 'taking away', 'concept2': "victims and mother of unwanted childrens ' right to life", 'relationtype': 'negative'}], [{'concept1': 'not letting women decide to have an abortion', 'relation': 'takes away', 'concept2': "rape victims and mother of unwanted childrens' right to life", 'relationtype': 'negative'}], nan]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6335	*** abortion laws are unconstitutional because *** abortion laws limit freedom and take lives of unhealthy women	[[{'concept1': 'abortion laws', 'relation': 'limit', 'concept2': 'freedom', 'relationtype': 'negative'}], [{'concept1': 'laws', 'relation': 'take', 'concept2': 'lives', 'relationtype': 'positive'}, {'concept1': 'laws', 'relation': 'limit', 'concept2': 'freedom', 'relationtype': 'negative'}], [{'concept1': 'abortion laws', 'relation': 'limit', 'concept2': 'freedom', 'relationtype': 'negative'}, {'concept1': 'abortion laws', 'relation': 'take lives', 'concept2': 'unhealthy women', 'relationtype': 'negative'}]]	0	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 1, 'max': 2, 'agg': 1}}
6339	abortion is a procedure in which woman terminates the individual life inside woman 's ( see r2 )	[nan, [{'concept1': 'abortion', 'relation': 'terminates', 'concept2': 'life', 'relationtype': 'negative'}], [{'concept1': 'abortion', 'relation': 'terminates', 'concept2': "individual life inside woman 's", 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6349	abortion plays a critical role in how women can combat the subservient and dependent life style , and maintain womens ' independence	[nan, [{'concept1': 'abortion', 'relation': 'plays', 'concept2': 'critical role in how women can combat the subservient and dependent life style', 'relationtype': 'positive'}, {'concept1': 'abortion', 'relation': 'maintain', 'concept2': "womens ' independence", 'relationtype': 'positive'}], [{'concept1': 'abortion', 'relation': 'maintain', 'concept2': "women' independence", 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6356	even if the life of the mother is at risk , and an abortion must be performed in order to save the woman 's , an abortion is still resulting in the death of a human being	[[{'concept1': 'an abortion', 'relation': 'result', 'concept2': 'death', 'relationtype': 'positive'}], nan, [{'concept1': 'abortion', 'relation': 'resulting', 'concept2': 'death', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6357	why is a women going to risk her life in liberia to have an abortion when a womens ' is such a high mortality rate due to the increasing unsafe abortions	[[{'concept1': 'high mortality rate', 'relation': 'due to', 'concept2': 'increasing unsafe abortions', 'relationtype': 'positive'}], [{'concept1': 'high mortality rate', 'relation': 'due to', 'concept2': 'increasing unsafe abortions', 'relationtype': 'positive'}], nan]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6391	this is to spook the consumers and have the consumers start saving their money instead of spending the economy stimulus hurting the economy	[nan, [{'concept1': 'economy stimulus', 'relation': 'hurting', 'concept2': 'the economy', 'relationtype': 'negative'}], []]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6403	the government 's priority when bailing out the banks was to save the economy	[[{'concept1': 'bailing out the banks', 'relation': 'saves', 'concept2': 'the economy', 'relationtype': 'positive'}], nan, [{'concept1': 'government', 'relation': 'bailing out', 'concept2': 'banks', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6422	the way to save the economy is to increase revenue , not cut spending	[[{'concept1': 'the economy', 'relation': 'to increase', 'concept2': 'revenue', 'relationtype': 'positive'}], [{'concept1': 'increase revenue', 'relation': 'save', 'concept2': 'the economy', 'relationtype': 'positive'}], [{'concept1': 'increase revenue', 'relation': 'save', 'concept2': 'economy', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6434	prime example : world war ii , after the economic collapse of the fdr initiated the fdr 's new deal programs , which helped the us economy , but what really saved us was war	[[], nan, [{'concept1': "fdr's new deal programs", 'relation': 'helped', 'concept2': 'the US economy', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6457	hitler saved the german economy ( which is much more than most leaders can say )	[nan, [{'concept1': 'hitler', 'relation': 'saved', 'concept2': 'the german economy', 'relationtype': 'positive'}], []]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6474	something saved the economy of the ussr	[[{'concept1': 'something', 'relation': 'saved', 'concept2': 'the economy of the ussr', 'relationtype': 'positive'}], [{'concept1': 'something', 'relation': 'saved', 'concept2': 'economy of the ussr', 'relationtype': 'positive'}], [{'concept1': 'something', 'relation': 'saved', 'concept2': 'economy of the ussr', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6485	the europeans saved another economy	[[{'concept1': 'europeans', 'relation': 'saved', 'concept2': 'another economy', 'relationtype': 'positive'}], nan, [{'concept1': 'europeans', 'relation': 'saved', 'concept2': 'another economy', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6487	legalized cigarettes have failed to save the economy	[[{'concept1': 'legalized cigarettes', 'relation': 'failed', 'concept2': 'save the economy', 'relationtype': 'negative'}], [], [{'concept1': 'legalized cigarettes', 'relation': 'failed', 'concept2': 'economy', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
6520	performance was saving the economy	[[{'concept1': 'performance', 'relation': 'saves', 'concept2': 'the economy', 'relationtype': 'positive'}], [{'concept1': 'performance', 'relation': 'was saving', 'concept2': 'the economy', 'relationtype': 'positive'}], [{'concept1': 'performance', 'relation': 'saving', 'concept2': 'economy', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6545	people will use more money to reinvest in the economy to save for retirement and build more wealth for people	[nan, [{'concept1': 'money', 'relation': 'reinvest', 'concept2': 'economy', 'relationtype': 'positive'}, {'concept1': 'save for retirement', 'relation': 'build more wealth', 'concept2': 'people', 'relationtype': 'positive'}], [{'concept1': 'people', 'relation': 'reinvest', 'concept2': 'build more wealth', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6565	absence of monopolistic practices absence of business fluctuations a socialist economy coordinates the action of various producing units , prevents discrimination between saving and investment	[[{'concept1': 'absence of monopolistic practices absence of business fluctuations a socialist economy coordinates the action of various producing units', 'relation': 'prevents', 'concept2': 'discrimination between saving and investment', 'relationtype': 'positive'}], [{'concept1': 'socialist economy', 'relation': 'prevents discrimination', 'concept2': 'between saving and investment', 'relationtype': 'negative'}], [{'concept1': 'socialist economy', 'relation': 'absence of', 'concept2': 'producing units', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
6573	very modest tax increases would not hurt the us 's economy due to the fact the overall savings	[[{'concept1': 'tax increases', 'relation': 'not hurt', 'concept2': 'us economy', 'relationtype': 'positive'}], [{'concept1': 'economy', 'relation': 'increases', 'concept2': 'savings', 'relationtype': 'positive'}], nan]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
6580	this was to give but the higher classes often spend almost all of their income on consumption of goods and services , so taxing the higher classes excessively will drain money out of the economy their wealth , which can effect the fate and well being of everyone ) their wealth takes more from the super rich ( im not crazy just hear me out ) the rich may spend less money for taxation on expensive toys , but the higher classes often save and hoard much of the higher classess ' and that money instead of being put to use is instead stashed in a safe or a secret bank account or in some place where	[[{'concept1': 'higher classes', 'relation': 'hoard', 'concept2': 'money', 'relationtype': 'positive'}], [{'concept1': 'taxing the higher classes', 'relation': 'will drain', 'concept2': 'money out of the economy', 'relationtype': 'negative'}], [{'concept1': 'higher classes', 'relation': 'drain', 'concept2': 'money', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
6586	( you could ensue them make a tidy profit before them ever have to pay a tidy profit back , if ever considering there 's a risk them might not make money ) if we invested in them as a government then , the effects would be much sooner , and the poorer and middle class would save more , and it 'd be a boon to the economy	[[{'concept1': 'we', 'relation': 'invested', 'concept2': 'boon to the economy', 'relationtype': 'positive'}], [{'concept1': 'poorer class', 'relation': 'save', 'concept2': 'more money', 'relationtype': 'positive'}, {'concept1': 'middle class', 'relation': 'save', 'concept2': 'more money', 'relationtype': 'positive'}], nan]	0	1	0	{'positive': {'min': 1, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
